KO-1	KO-2	KO-3	N-1	N-2	N-3	OT1-2	OT1-3	OT1-4	SV40-3	SV40-4	SV40-5	WT-2	WT-3	WT-5
RP24-129H18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-322I3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC118208.1	2	0	3	0	4	0	0	0	1	1	0	0	0	1	0
Gm23674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-205H1.1	7	7	9	3	1	6	2	1	8	2	8	4	6	6	4
Gm24246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3c3	1186	2267	3241	4051	2771	4165	4360	4424	4690	2855	3659	4531	1657	1740	3340
Rpl29-ps5	2	0	0	0	2	2	0	1	3	1	0	2	0	0	0
Gm22870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7936	21	5	16	10	22	13	10	9	13	13	19	23	15	15	12
Rit2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a46	58	147	107	175	113	201	122	244	135	343	192	82	171	160	63
B930094E09Rik	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1
Sap130	1103	1707	1337	2495	2051	3650	1537	1274	3006	2149	2643	2974	1229	1504	973
Ammecr1l	398	1792	1432	1856	1362	2659	1304	2115	1829	961	2468	1737	811	823	1652
Gm26533	2	1	3	2	24	4	9	5	8	17	0	28	2	0	7
Polr2d	6160	3595	6416	6112	6475	4467	3537	2517	4100	3150	6374	4521	5406	5638	3292
Wdr33	4120	7356	6952	10764	7442	11222	6799	7043	6542	5709	5761	7918	4815	5355	5844
Gm6665	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
Gm26823	0	0	4	1	0	0	3	0	1	0	1	12	0	0	0
Sft2d3	16	3	18	20	32	9	55	59	30	17	25	13	3	5	14
Lims2	0	16	0	1	0	0	0	21	22	0	57	0	10	27	48
Gpr17	0	0	0	0	0	0	0	0	6	0	0	0	0	3	1
Myo7b	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0
AC127347.1	0	0	0	0	0	0	0	0	0	0	0	16	0	7	5
AC127347.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iws1	120	79	257	296	282	157	204	281	291	67	62	47	124	122	70
Proc	0	46	0	0	0	0	0	178	672	27	184	1	18	0	0
Gm26717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k2	10	46	22	86	35	198	110	48	122	60	84	66	48	42	13
Ercc3	2864	3812	3823	4082	2643	3202	2853	3205	3996	3409	3484	2997	3036	3116	3101
Gm22325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830052D11Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bin1	12356	10780	14914	19901	14022	15355	20840	14785	19267	27438	35385	32872	12194	11200	20176
RP24-254M13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-122B20.2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RP24-254M13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gypc	3859	3323	3944	3995	3085	3530	3069	2663	2922	5690	4932	5219	3694	4823	3743
Gm25826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930455D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tslp	0	0	0	0	1	0	0	0	0	0	1	0	2	3	0
Gm26378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr36	3517	7394	5467	4332	2656	3789	3152	5056	4360	2707	3798	2260	3261	4543	2937
Mir6361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310026I22Rik	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0
Camk4	2919	1831	3472	4192	3360	3909	1785	2091	2428	2476	2371	3018	2372	2979	4292
Gm22814	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stard4	906	637	832	1160	592	1056	579	798	1338	1024	2565	2082	1379	1695	1295
Nrep	0	0	0	5	0	0	0	9	62	0	25	0	0	1	0
Gm10549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epb41l4aos	200	107	179	94	209	85	81	67	60	72	74	66	72	74	36
Gm23639	16	5	7	3	4	4	6	14	3	14	7	2	7	3	0
Epb41l4a	11	13	17	0	24	11	21	10	6	38	93	73	0	15	134
Gm22788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-174C24.1	7	15	19	124	117	67	109	48	59	18	33	22	7	35	49
Apc	1	33	5	221	18	158	0	19	53	6	11	4	5	26	3
Srp19	3537	1729	4021	1474	2278	1085	2719	2160	1577	1045	1971	1270	2097	3069	1751
Reep5	6185	4825	5984	3321	3751	2485	5376	3349	6225	3719	10094	8063	4170	4931	4482
Pkd2l2	22	22	62	46	31	50	40	67	30	18	77	40	0	14	5
Fam13b	3	46	77	271	110	74	117	91	92	44	43	56	4	11	5
n-R5s24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt8a	3	42	16	0	0	36	0	0	0	0	0	0	0	0	0
Nme5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC074335.4	7	10	0	28	5	0	0	0	0	0	1	9	0	0	3
Brd8	1562	3348	2949	3472	2871	5081	3667	4437	3729	1751	2462	3358	2152	2785	3476
Kif20a	3158	4937	4026	239	42	196	251	378	631	124	474	617	8104	11366	5717
Cdc23	4498	6439	6876	6838	4595	8560	7064	5640	5434	5875	6203	5775	4755	5993	6509
n-R5s25	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
Gfra3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	17
Cdc25c	663	706	448	0	1	0	1	16	207	67	261	143	1519	2093	1099
Gm3550	6	2	6	6	3	3	6	0	2	2	1	2	6	7	6
2010110K18Rik	0	8	5	3	0	0	7	1	5	0	13	3	50	59	9
Fam53c	7131	11295	8206	7436	4908	6282	9736	6921	9494	8339	12786	11212	5948	5089	9675
Kdm3b	924	1666	1388	1177	1282	2073	1505	2107	1192	1527	2275	1809	650	628	2016
Gm26538	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Reep2	437	260	127	44	109	86	28	31	128	193	169	134	469	361	159
Egr1	1204	1185	1829	866	493	518	109	129	137	1895	838	439	308	365	300
Etf1	804	2207	2064	2488	2957	3473	1235	2795	2150	922	2274	1650	1514	2441	1286
Hspa9	9105	22174	18850	11637	9156	14386	13819	13328	12968	4703	9844	6311	9482	10998	7351
Gm22200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26109	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
Ctnna1	879	2194	606	155	509	132	888	511	1068	1365	1384	907	759	1026	1444
Lrrtm2	0	7	0	0	0	45	0	3	2	0	0	0	0	0	0
Sil1	2609	2782	3851	3609	3083	3300	2915	2101	3293	3450	4158	5314	3374	3205	2686
Gm5239	6	6	4	9	14	12	7	3	6	7	9	9	6	6	4
Snhg4	808	437	1171	368	434	109	212	446	687	105	167	127	428	617	96
RP23-461O23.5	0	0	0	0	8	1	0	0	0	0	15	0	0	0	0
Mir1949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snora74a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC121821.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Matr3	179	359	393	1306	1738	3739	302	1237	1415	177	940	725	264	272	591
RP23-461O23.2	0	0	2	0	0	4	0	12	19	0	0	0	0	0	1
Paip2	7367	6262	10590	13555	12350	11580	10462	9635	9273	6565	12579	10814	5815	6925	10809
Slc23a1	26	0	0	4	12	17	46	6	74	37	4	15	7	2	0
Mzb1	160	384	51	307	163	60	77	85	32	0	152	136	192	78	223
Prob1	0	0	0	0	3	8	0	2	3	0	2	0	0	0	1
Spata24	305	120	182	94	220	121	105	69	110	155	247	190	225	303	291
Dnajc18	967	668	814	1439	802	1113	1116	869	805	943	1307	1201	531	533	1266
AC132837.2	217	55	312	266	180	88	128	47	177	48	84	63	78	47	47
Ecscr	0	0	0	34	18	28	0	4	0	0	0	0	14	0	0
Tmem173	20731	21023	18823	31049	25992	25738	19547	13701	17355	23929	24972	23018	18822	17409	22017
RP24-490M12.1	4	3	2	2	1	0	14	1	0	2	0	2	5	1	3
Ube2d2a	358	460	620	747	719	524	426	531	225	556	358	198	414	543	308
Cxxc5	590	708	656	787	921	848	80	46	69	649	1786	1364	437	429	819
RP24-326K11.2	2	3	1	0	1	1	0	0	0	0	1	0	0	1	0
Gm23882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Nrg2	0	0	0	5	33	9	0	0	1	0	0	0	0	0	0
Pura	9	25	63	59	99	118	46	36	60	1	87	32	35	21	18
RP24-464B16.1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Igip	0	0	0	0	0	0	10	8	2	0	3	3	0	0	1
Cystm1	14	65	14	15	38	14	1	19	47	1	20	23	32	9	12
Pfdn1	3237	1214	3093	1092	1689	814	1330	1080	1210	977	1739	1434	2027	2400	1271
Hbegf	57	31	11	16	0	0	184	133	112	76	244	27	91	33	17
Slc4a9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Ankhd1	34	166	283	390	427	500	263	224	349	191	207	223	30	186	185
AC115631.3	36	55	57	30	29	33	41	22	30	27	42	35	56	99	39
Eif4ebp3	2	0	0	0	2	0	0	4	7	0	6	0	1	0	1
Sra1	9833	6210	9205	8407	9361	6442	7022	5480	6652	7949	9895	6772	7372	6801	5304
Slc35a4	21638	31083	27184	32939	22377	31456	23042	14536	24071	25296	25297	26740	26339	24595	18346
AC115631.4	0	0	0	0	0	31	0	0	12	0	0	0	0	0	0
Cd14	1311	5962	573	85	84	61	18	49	101	25	193	165	2459	1654	1592
Tmco6	1285	1812	1056	1177	922	1302	1342	1229	1005	4017	2367	2348	1387	1384	2267
Ndufa2	4889	1917	4656	4205	7892	2668	3244	1989	3548	2149	4231	4112	3267	3614	2153
Ik	1291	1682	2273	3120	2180	3102	2431	3663	3124	1492	2432	3333	1530	2314	2633
Wdr55	3921	4300	5060	4108	3706	3402	3235	2264	3572	2940	3255	3560	4238	3754	2166
Dnd1	49	56	48	37	71	29	26	5	59	39	129	65	66	20	48
Hars	9493	10575	11587	9579	5832	6494	8169	5911	8900	9207	10395	7750	10530	10507	8762
Hars2	2495	3997	4051	3273	3449	3942	3464	3181	3066	3707	4032	3137	2670	1914	3008
Zmat2	7228	5393	9636	6222	6716	5830	5790	4808	5718	7692	9253	7578	6434	6348	5965
Vaultrc5	22	5	10	16	26	10	8	8	8	10	23	15	11	4	4
Gm23424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-193O23.1	5	3	11	2	0	3	3	1	4	3	4	4	4	9	6
Pcdha1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP23-193O23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-193O23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-407E2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-193O23.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-407E2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-407E2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6P18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6P18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6P18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdha12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6P18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhac1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhac2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6P18.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-72C14.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-92D17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Pcdhb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-161O8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-161O8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb21	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0
Pcdhb22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-56B11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Taf7	224	267	217	808	709	525	297	791	545	163	466	307	233	142	198
RP23-56B11.5	23	15	27	23	36	22	15	9	14	9	23	18	20	23	16
RP23-56B11.6	0	0	0	3	0	69	0	0	0	0	2	14	0	0	0
Pcdhga1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-56B11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhga2	0	0	0	0	30	0	36	0	0	0	0	0	0	0	0
Pcdhga3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhgb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhga4	39	37	0	0	0	0	0	0	0	0	47	23	9	0	19
Pcdhgb2	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0
Pcdhga5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Gm24401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhga6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-56B11.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhga7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhgb4	1	0	0	18	31	5	0	0	0	1	0	64	0	0	7
Pcdhga8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhgb5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pcdhga9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhgb6	3	3	0	15	9	1	0	0	0	10	2	6	1	3	6
RP23-56B11.9	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0
Pcdhga10	0	3	0	0	3	0	0	0	0	0	0	3	0	0	0
Pcdhgb7	3	7	22	26	32	29	11	1	43	23	65	32	5	16	11
Pcdhga11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Pcdhgb8	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0
Pcdhga12	19	8	0	1	0	67	19	30	85	49	80	68	0	0	53
RP23-407E2.27	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Pcdhgc3	85	84	89	60	139	64	231	201	286	7	9	62	44	81	51
Pcdhgc4	258	155	72	0	41	0	66	33	118	1	0	2	133	168	142
Pcdhgc5	2	0	0	0	26	0	0	0	0	0	0	0	11	0	0
RP23-407E2.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-407E2.31	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0
Diaph1	761	1055	1127	812	1050	867	1073	1685	1322	523	1224	1400	472	709	830
Mir6979	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hdac3	9778	11217	11595	8743	6281	9079	6185	5348	7730	10582	11337	10633	11671	11163	8974
Rell2	102	321	293	102	86	120	47	86	95	116	157	78	62	73	77
Fchsd1	1381	1780	1314	2082	1982	2350	1946	1627	2384	5106	4856	3656	1297	952	2840
Arap3	186	1129	116	88	46	119	55	136	116	10147	13108	11370	1205	694	8550
Mir6981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh1	0	0	0	1	1	0	0	0	23	0	10	5	0	0	0
AC133646.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086O06Rik	74	41	60	64	105	106	62	34	47	102	55	85	68	71	49
Gm10268	4	2	3	5	6	4	6	11	1	2	0	4	1	3	2
0610009O20Rik	598	808	590	821	865	727	626	456	836	1020	1628	1401	562	753	844
Pcdh12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rnf14	2870	3365	3543	6959	4587	7834	6751	7234	5807	4134	6113	4788	3008	3589	4606
Gm23205	0	0	7	0	3	1	0	0	0	2	17	0	0	0	1
Gnpda1	6798	8494	6955	4079	2763	4790	5780	4237	4939	8876	9669	6458	8945	8624	7750
Gm24690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndfip1	521	453	827	275	205	169	267	511	172	2810	768	436	1108	859	520
Spry4	37	19	82	30	0	0	0	0	4	0	0	0	21	0	0
Gm27369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap26	112	169	214	490	243	602	611	1071	2181	6	30	146	84	47	33
RP24-179O1.1	5	0	6	3	10	4	13	4	6	1	3	1	2	11	4
AC133601.2	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0
AC151409.1	1	2	4	3	4	4	1	3	3	1	1	0	4	6	4
Fgf1	0	0	0	1	0	0	0	4	74	0	21	0	0	0	0
AC110730.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC129603.2	0	0	0	0	0	0	0	3	0	0	20	0	0	0	0
AC129603.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC129603.1	0	43	0	1	0	14	0	0	0	0	8	0	0	0	0
Nr3c1	99	201	287	562	668	727	247	499	717	176	460	409	184	99	182
Pabpc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yipf5	1717	1801	2115	3978	2885	3732	1679	2513	2490	1674	4144	3108	1778	2642	2050
2900055J20Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Kctd16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps19-ps13	2	1	1	0	5	1	2	0	1	0	1	0	0	1	0
Gm22515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm44476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prelid2	1735	1018	1558	151	300	86	51	60	159	787	1139	903	1778	1390	541
Grxcr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3rf2	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0
Gm5689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plac8l1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lars	1669	2990	2806	3955	3468	4235	2313	3786	3398	1558	2845	3055	1427	2785	3042
Rps19-ps4	25	10	30	44	57	30	14	11	27	14	15	7	21	16	15
Rbm27	69	150	185	372	301	731	98	195	351	24	579	211	50	118	82
Gm22697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou4f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-310D9.2	6	6	12	6	4	7	8	2	3	5	6	5	0	6	9
Tcerg1	107	136	199	138	330	139	55	194	171	362	93	101	178	146	162
Gm27457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2r2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC101740.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8181	2	2	3	3	14	7	7	6	2	1	6	3	1	6	3
Stk32a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpysl3	0	0	0	0	0	0	3	1	6	9	66	7	34	23	0
RP23-131O22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3j2	0	2	2	2	9	7	2	11	2	6	2	8	4	4	3
Gm27325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jakmip2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink1	0	0	0	2	4	0	0	13	15	0	15	0	0	0	0
Gm23894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scgb3a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Spink14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink6	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Spink12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-204B12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-204B12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spinkl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npy6r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcp2	395	536	667	183	255	229	214	326	213	351	242	239	597	513	401
Mcc	0	0	0	2	0	59	0	17	5	1	26	0	4	0	0
RP23-275E4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342A15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ythdc2	8	7	22	72	2	3	11	8	15	6	73	6	94	14	3
RP23-358B17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn2	0	0	0	0	0	0	0	3	22	0	5	0	0	0	0
Gm10540	1	0	0	4	3	2	0	1	2	0	1	1	2	2	1
RP23-304I16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-147K15.2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Trim36	2	7	73	130	52	144	12	5	1	35	75	59	3	42	63
RP24-147K15.1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Pggt1b	131	185	123	390	107	266	208	252	193	94	583	234	240	229	127
Ccdc112	0	0	0	0	0	0	0	0	0	10	0	8	0	0	13
Gm24617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mospd4	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0
Gm24076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fem1c	397	416	170	591	526	463	396	899	529	244	581	505	266	223	479
Ticam2	97	1577	164	55	55	96	0	35	1	109	99	179	510	325	425
Tmed7	24	60	70	29	236	142	7	262	318	10	223	85	56	19	49
Eif1a	1093	2526	2468	2912	2475	2755	1771	2510	2570	223	1949	1361	1171	1805	1459
Cdo1	49	57	15	30	0	0	24	933	919	53	868	53	10	45	97
Atg12	1609	3481	2305	3716	2921	4832	2997	5124	3591	3275	3331	3327	2199	1944	3724
Ap3s1	337	199	380	171	108	97	228	381	123	156	93	48	281	292	119
Lvrn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl14epl	45	0	0	0	1	0	0	0	0	0	11	0	0	0	2
Commd10	3340	2524	3450	2764	2448	2394	2771	2447	2279	3448	5866	5904	3277	3984	3716
Gm22791	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Gm25036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema6a	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0
Eno1b	542	2500	994	703	240	912	1656	746	1101	964	599	601	1494	880	635
RP23-337F6.1	10	2	6	6	3	2	2	1	3	2	5	0	9	8	4
RP23-331C24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtwd2	27	13	19	49	17	11	24	19	28	34	2	7	10	23	15
AC112984.2	63	12	68	35	63	19	52	37	42	33	24	45	16	15	15
RP24-402J9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmxl1	3	9	37	9	26	111	32	20	25	0	2	0	4	0	25
Tnfaip8	1742	3006	2955	3654	3590	3711	3318	3932	3935	2021	4442	4417	2946	3875	3574
AC120859.3	0	1	11	2	8	0	0	0	16	0	4	0	0	0	0
Hsd17b4	4334	6309	4553	6270	5467	6201	5638	4887	4785	8059	6739	8310	5081	5350	7575
Cd63-ps	10	7	2	8	1	0	3	3	27	0	11	9	12	2	9
RP24-94D24.1	17	13	16	5	6	13	4	7	15	6	9	18	36	25	18
Fam170a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pudp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prr16	0	0	0	0	0	0	0	1	13	0	3	0	0	0	0
Gm25739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4950	43	25	57	42	54	29	47	18	39	29	45	34	38	48	27
